usuario,pelicula1,pelicula2,pelicula3,pelicula4,pelicula5,pelicula6,pelicula7,pelicula8,pelicula9,pelicula10
User134,3,4,6,1,5,4,5,5,9,5
User135,1,9,5,7,1,10,4,6,7,9
User136,3,4,5,5,1,3,9,6,8,3
User137,9,5,4,7,1,1,5,3,7,10
User138,2,4,2,8,1,8,6,2,7,4
User139,4,3,5,9,9,5,8,5,10,6
User140,4,7,8,7,2,5,6,5,10,4
User141,8,3,1,4,9,4,2,9,10,10
User142,5,8,10,7,7,1,2,5,8,1
User143,4,9,1,3,5,10,8,9,7,10
User144,6,1,3,10,4,10,9,9,6,9
User145,5,4,4,2,4,7,3,5,7,3
User146,2,10,1,6,5,2,1,3,8,9
User147,7,9,9,2,8,1,5,5,3,1
User148,2,2,10,1,6,4,8,3,7,5
User149,2,4,4,6,2,2,5,5,2,3
User150,5,3,7,5,1,4,1,3,3,6
User151,4,5,4,1,4,8,8,1,7,1
User152,7,9,10,10,6,10,2,8,3,4
User153,3,8,6,7,4,1,2,10,6,3
User154,10,4,8,5,4,2,7,8,6,8
User155,4,6,8,7,10,2,9,9,9,2
User156,3,9,6,3,2,9,4,9,8,6
User157,9,3,6,6,2,10,4,7,9,2
User158,4,1,9,6,3,4,3,2,4,1
User159,6,9,9,1,9,6,7,8,7,6
User160,8,7,7,8,10,2,2,8,7,4
User161,7,5,6,4,10,5,10,2,6,3
User162,4,4,6,8,2,1,8,4,6,7
User163,9,9,3,8,1,10,8,7,6,6
User164,2,5,6,7,4,7,3,5,5,6
User165,2,3,6,10,1,6,4,10,9,8
User166,10,9,2,3,5,7,4,1,3,1
User167,2,1,10,5,5,8,3,9,3,6
User168,1,5,1,7,1,4,7,5,8,5
User169,3,10,9,5,1,7,2,4,6,3
User170,9,2,9,8,2,9,5,3,6,6
User171,8,2,8,10,8,8,7,3,9,5
User172,1,9,5,4,2,4,3,2,8,9
User173,4,3,6,9,6,10,5,5,10,9
User174,5,9,3,6,9,4,1,2,9,4
User175,6,6,3,4,1,5,5,6,5,8
User176,1,3,5,1,6,10,6,3,1,8
User177,1,10,8,4,10,10,7,3,9,9
User178,8,8,4,4,7,2,9,1,6,8
User179,3,5,4,6,4,7,9,3,9,2
User180,7,8,4,3,5,2,1,9,2,2
User181,10,6,4,9,1,6,7,9,10,4
User182,10,8,10,1,4,9,5,4,6,4
User183,8,9,4,4,10,7,1,6,10,1
User184,1,6,7,10,5,5,3,7,9,10
User185,9,6,5,3,4,9,5,3,2,9
User186,5,5,3,7,9,2,6,1,2,6
User187,8,5,2,10,2,1,8,5,8,10
User188,2,9,1,2,5,6,3,9,5,6
User189,5,6,9,1,2,7,5,4,9,3
User190,2,7,1,5,8,7,1,4,9,7
User191,7,3,4,9,8,1,10,8,3,5
User192,2,10,7,5,6,1,10,8,10,6
User193,10,7,5,5,3,2,5,6,5,10
User194,7,4,1,1,4,7,10,2,1,1
User195,1,9,9,8,6,9,8,7,9,10
User196,7,6,3,6,5,10,5,1,6,6
User197,3,7,5,10,5,5,2,2,10,7
User198,8,10,10,8,1,8,6,6,5,5
User199,7,5,9,2,8,5,3,7,10,7
User200,3,2,1,8,2,8,8,8,6,1
User201,10,6,8,9,9,4,1,6,6,10
User202,9,9,1,8,7,1,2,5,3,10
User203,3,5,4,8,6,4,10,8,2,10
User204,2,8,7,10,8,4,4,9,7,4
User205,7,2,8,10,6,9,10,10,7,2
User206,8,2,4,4,8,6,7,5,9,5
User207,3,8,8,6,1,7,6,9,2,2
User208,5,7,5,10,8,6,3,8,3,10
User209,10,1,3,5,10,8,5,9,9,7
User210,8,5,2,9,5,1,4,7,6,2
User211,5,3,2,7,4,5,4,1,2,10
User212,4,3,3,8,6,10,3,6,5,1
User213,8,6,5,5,1,10,1,8,9,1
User214,3,8,7,7,8,6,1,4,5,5
User215,6,2,3,2,4,5,2,10,8,9
User216,3,4,2,4,4,3,8,7,3,5
User217,4,8,7,9,9,4,9,5,6,8
User218,8,1,5,8,6,4,3,6,4,10
User219,5,1,2,7,6,10,8,4,2,6
User220,5,2,6,8,5,7,5,2,10,2
User221,7,4,3,2,5,7,3,3,2,5
User222,2,2,3,10,8,10,8,5,2,4
User223,10,2,3,10,3,7,5,1,5,4
User224,4,3,2,7,8,4,2,6,7,5
User225,7,3,3,6,5,1,10,5,10,7
User226,5,6,2,4,3,2,6,2,4,3
User227,7,10,9,1,4,4,9,3,7,7
User228,2,4,1,2,8,2,6,6,9,2
User229,9,10,3,8,10,10,6,3,3,6
User230,4,6,7,8,1,1,4,4,6,3
User231,9,2,8,7,9,2,9,3,6,5
User232,8,9,6,1,8,5,9,7,3,5
User233,3,8,8,10,5,2,9,2,6,1
User234,1,10,4,3,9,4,9,10,9,6
User235,7,9,2,3,9,4,5,3,4,9
User236,3,6,9,2,9,4,2,5,9,3
User237,9,5,1,6,7,1,2,10,8,4
User238,5,2,3,3,8,8,7,6,10,6
User239,5,1,7,10,9,7,2,3,2,6
User240,2,6,4,5,7,7,1,6,1,2
User241,1,6,7,7,2,7,3,9,6,3
User242,2,8,8,4,4,10,8,4,10,8
User243,1,9,6,10,9,9,7,10,7,8
User244,4,5,8,4,9,6,2,8,7,2
User245,10,7,10,7,4,4,8,9,10,1
User246,2,10,8,2,3,3,10,5,7,2
User247,1,4,8,7,10,6,3,2,3,9
User248,5,1,9,10,2,3,8,6,10,9
User249,3,3,9,4,6,1,10,4,4,10
User250,3,3,2,4,6,7,8,8,1,8
User251,6,6,1,6,7,7,3,6,10,4
User252,9,6,6,7,2,7,2,8,9,5
User253,6,9,1,10,7,5,9,6,2,10
User254,4,10,7,6,9,7,8,6,9,3
User255,3,2,9,3,9,9,6,10,1,1
User256,5,10,3,6,5,7,10,1,6,1
User257,4,9,8,5,10,10,10,4,8,5
User258,4,4,8,1,9,9,2,4,2,2
User259,6,8,10,7,10,5,6,2,5,6
User260,7,8,4,9,9,3,3,7,5,9
User261,6,5,8,4,3,5,7,6,7,6
User262,7,7,4,7,6,7,2,4,8,2
User263,4,7,2,7,10,7,5,9,6,1
User264,10,8,6,5,5,4,1,9,8,9
User265,9,10,1,3,4,7,4,6,2,1
User266,8,1,2,10,3,5,4,6,8,1
User267,4,6,1,3,5,4,6,6,8,7
User268,1,8,6,9,5,8,10,5,6,9
User269,9,8,7,3,9,1,4,8,6,8
User270,8,10,2,3,7,6,6,3,6,7
User271,3,5,2,6,7,3,3,7,3,3
User272,4,10,4,10,5,10,4,6,4,6
User273,6,10,3,1,8,5,3,10,5,4
User274,7,3,8,7,8,6,7,8,9,10
User275,5,10,1,6,3,6,3,7,8,2
User276,7,6,6,10,8,9,6,3,10,10
User277,7,4,10,4,3,5,4,10,6,4
User278,6,5,7,2,8,2,10,5,8,10
User279,10,5,6,2,7,9,6,7,5,1
User280,3,3,1,5,4,5,6,4,10,5
User281,7,3,6,10,6,1,2,9,9,5
User282,9,2,3,5,5,5,1,6,9,7
User283,2,4,5,1,2,6,3,5,9,4
User284,2,8,5,6,8,10,5,2,1,7
User285,10,4,6,10,10,8,10,3,3,9
User286,6,7,7,2,6,2,1,8,2,7
User287,6,4,10,5,6,4,2,3,4,9
User288,8,3,9,3,4,2,1,5,10,2
User289,9,1,5,9,9,10,7,5,1,5
User290,2,7,5,4,6,10,6,9,7,8
User291,5,9,10,9,2,3,5,3,1,1
User292,6,3,5,2,7,5,8,1,9,8
User293,9,7,5,6,10,4,4,2,3,8
User294,9,6,2,9,2,3,7,3,9,10
User295,9,2,2,9,8,9,9,10,1,8
User296,4,9,4,5,8,1,6,4,5,6
User297,6,9,6,1,6,3,1,5,5,4
User298,8,9,7,2,6,9,1,8,5,8
User299,9,9,6,1,8,2,9,10,4,5
User300,1,1,4,6,6,10,7,4,9,2
User301,6,6,7,3,7,3,6,9,3,5
User302,10,9,8,9,10,7,2,6,9,5
User303,10,9,5,3,6,8,4,7,8,4
User304,4,4,9,6,9,9,5,7,2,2
User305,7,8,2,6,10,7,9,2,2,10
User306,1,10,10,9,7,6,8,7,2,2
User307,8,3,7,8,7,3,7,5,9,10
User308,2,1,10,3,2,6,10,3,7,1
User309,1,7,9,1,8,5,9,7,7,8
User310,7,10,4,3,1,7,6,7,10,9
User311,6,6,9,1,10,3,1,4,7,4
User312,10,9,10,5,6,5,2,6,7,8
User313,2,8,3,6,1,9,8,4,3,10
User314,7,5,8,7,10,6,10,3,7,10
User315,6,6,10,4,3,8,10,5,8,1
User316,3,9,1,3,3,5,8,1,4,9
User317,10,8,10,6,8,5,5,3,3,5
User318,1,5,7,6,2,6,3,4,9,1
User319,2,6,1,4,10,8,3,3,3,1
User320,7,9,9,8,7,3,6,3,1,8
User321,2,3,5,3,9,5,9,4,1,4
User322,1,9,2,10,9,5,5,2,3,8
User323,5,10,5,9,6,1,4,5,9,2
User324,7,8,3,8,8,7,1,6,2,10
User325,1,6,3,3,2,2,8,7,10,4
User326,5,4,2,2,3,9,3,7,9,8
User327,2,8,9,3,3,6,3,2,6,5
User328,7,3,10,9,9,2,7,2,3,7
User329,4,3,10,10,4,7,2,8,1,4
User330,9,6,8,6,10,4,7,7,1,5
User331,8,1,8,5,4,9,7,7,3,1
User332,9,9,9,9,8,8,1,9,8,4
User333,8,5,4,5,4,8,5,8,6,9
User334,7,4,8,1,4,10,9,3,8,9
User335,10,4,9,7,8,9,2,1,10,2
User336,3,4,2,1,4,1,6,2,4,6
User337,8,7,2,6,1,4,10,9,5,9
User338,2,5,6,8,5,3,9,4,9,6
User339,2,7,3,6,6,4,2,8,6,10
User340,5,6,3,10,8,1,1,10,8,2
User341,2,3,7,6,3,7,8,5,3,2
User342,6,4,6,8,4,1,10,1,6,3
User343,9,3,9,2,5,5,8,6,6,7
User344,9,2,8,2,4,4,3,4,8,8
User345,7,9,10,9,10,9,4,7,4,9
User346,4,9,5,7,4,7,1,4,3,10
User347,1,2,5,4,7,2,3,5,4,8
User348,4,9,4,1,1,7,5,1,7,6
User349,4,5,7,8,1,6,7,6,8,6
User350,1,6,2,1,4,9,7,1,7,7
User351,10,3,9,2,3,1,5,3,10,5
User352,2,5,1,8,7,4,2,3,1,5
User353,5,4,4,7,9,3,4,7,7,2
User354,7,4,3,2,5,6,2,5,2,9
User355,3,2,3,6,8,3,8,9,7,10
User356,8,2,2,2,6,3,3,7,1,5
User357,8,10,6,5,7,3,4,8,7,9
User358,6,5,10,9,8,9,2,6,8,3
User359,2,9,6,6,7,1,5,10,5,4
User360,8,4,2,1,10,7,2,1,6,1
User361,5,10,1,9,2,7,7,10,5,8
User362,7,4,5,2,6,2,7,7,4,6
User363,6,3,7,5,9,9,7,9,4,3
User364,4,5,2,10,10,1,2,6,10,2
User365,8,10,10,9,3,5,8,7,10,3
User366,3,8,7,2,6,3,7,8,10,3
User367,1,7,6,8,2,4,9,5,8,5
User368,6,1,4,5,7,8,5,1,9,10
User369,8,9,3,7,4,1,4,3,7,6
User370,7,5,10,4,6,8,6,6,2,6
User371,8,4,2,5,1,7,5,4,8,5
User372,8,10,6,8,2,3,9,6,3,1
User373,6,1,7,2,5,5,1,5,7,3
User374,10,8,1,8,3,8,1,8,9,2
User375,4,5,10,9,4,9,4,5,8,2
User376,5,2,9,1,10,6,6,9,7,1
User377,2,6,7,2,8,2,4,3,1,9
User378,1,5,7,4,2,8,7,7,10,8
User379,8,8,5,5,8,10,8,5,6,3
User380,2,9,2,2,6,1,10,2,3,6
User381,6,3,8,1,10,3,4,7,7,4
User382,1,3,4,10,5,10,4,1,6,1
User383,9,10,10,7,5,5,4,4,7,2
User384,4,9,1,10,8,1,6,4,5,10
User385,10,9,2,2,2,9,9,10,1,3
User386,3,8,7,7,5,6,3,10,2,7
User387,4,2,2,5,8,6,7,1,1,10
User388,6,8,3,1,10,5,4,1,2,5
User389,4,4,7,5,10,6,8,1,5,9
User390,1,9,2,2,3,5,7,6,4,6
User391,8,3,7,4,1,3,3,3,7,4
User392,2,7,9,8,9,7,7,3,7,4
User393,5,4,1,10,4,8,4,1,8,1
User394,4,7,8,2,9,6,5,10,5,1
User395,4,6,10,5,1,6,1,4,8,7
User396,3,10,6,8,7,4,8,3,7,10
User397,6,4,4,1,6,1,2,4,9,1
User398,10,7,2,4,2,1,4,2,4,10
User399,7,6,7,6,3,3,6,10,2,9
User400,3,10,7,5,5,10,5,5,5,8
User401,8,2,4,4,8,5,2,5,10,10
User402,8,9,4,3,2,1,1,2,3,2
User403,9,7,5,1,4,3,9,10,3,7
User404,10,2,2,4,9,1,3,6,10,3
User405,10,9,6,10,3,3,6,3,5,7
User406,2,1,7,10,5,7,10,8,10,9
User407,6,10,9,8,7,7,6,6,6,1
User408,5,3,5,7,1,4,9,3,4,4
User409,3,7,8,4,10,5,4,6,2,9
User410,9,7,1,1,10,3,4,1,1,4
User411,10,1,10,10,6,1,10,6,8,1
User412,2,8,6,10,4,4,4,8,5,8
User413,9,5,2,5,7,9,4,1,1,10
User414,5,8,4,4,3,10,2,6,7,3
User415,6,2,5,8,4,4,8,7,2,1
User416,9,1,4,1,3,7,6,6,3,9
User417,5,2,3,6,1,10,10,2,7,5
User418,2,8,10,9,10,1,9,4,7,1
User419,3,9,9,9,4,10,8,2,5,7
User420,9,4,2,5,6,2,9,1,9,2
User421,4,2,5,4,6,1,10,10,10,10
User422,7,3,4,4,6,3,3,2,10,4
User423,9,3,9,8,1,10,2,7,3,1
User424,10,9,7,1,10,10,1,9,2,8
User425,5,7,10,4,5,6,7,7,6,4
User426,9,1,3,10,7,6,4,6,5,9
User427,5,9,9,7,3,9,8,10,6,7
User428,7,8,4,1,4,2,1,1,5,8
User429,8,6,7,4,1,10,6,7,1,4
User430,6,8,1,3,8,4,7,9,7,6
User431,7,7,10,3,4,3,8,9,4,7
User432,8,9,10,3,5,6,9,2,7,7
User433,4,6,7,9,5,2,7,3,6,8
User434,5,2,9,4,6,5,9,9,4,6
User435,3,4,10,2,1,9,5,6,7,1
User436,4,2,1,10,5,2,6,7,10,7
User437,6,10,6,5,1,5,10,6,4,7
User438,10,2,10,3,6,8,9,10,9,9
User439,8,8,10,9,3,7,10,1,9,5
User440,10,8,4,7,2,3,6,10,1,10
User441,1,9,1,2,6,3,6,10,4,3
User442,2,1,4,2,5,2,2,4,8,1
User443,8,6,9,3,6,7,4,5,6,3
User444,9,7,2,4,1,9,7,6,7,1
User445,8,7,4,4,2,7,3,2,10,2
User446,7,6,4,2,9,6,4,1,5,10
User447,9,2,5,7,2,10,9,7,3,9
User448,1,10,10,5,6,1,10,7,8,2
User449,5,6,4,5,3,2,2,2,7,4
User450,8,10,4,6,1,2,5,8,3,10
User451,3,1,5,9,4,6,1,1,6,5
User452,9,2,2,8,7,5,2,4,9,4
User453,8,3,6,9,7,6,7,10,4,6
User454,1,1,3,3,6,8,2,1,5,9
User455,5,10,6,2,7,10,3,7,2,1
User456,4,9,9,9,3,4,5,2,4,2
User457,8,10,6,6,5,7,9,6,1,2
User458,1,1,5,4,9,4,7,9,1,1
User459,3,1,7,5,10,5,9,3,6,4
User460,2,10,8,6,5,9,8,5,9,5
User461,2,8,5,4,6,10,7,4,9,7
User462,10,3,4,10,9,9,3,10,9,5
User463,6,8,2,6,9,4,9,5,6,3
User464,7,1,9,10,1,8,8,7,10,10
User465,1,9,4,9,5,10,8,4,2,1
User466,5,9,4,7,7,8,4,10,7,5
User467,2,4,6,6,1,10,8,5,8,6
User468,2,8,5,6,7,5,7,2,2,4
User469,7,4,5,10,7,3,8,8,6,7
User470,8,1,2,10,5,8,10,10,9,6
User471,9,10,4,2,7,2,2,3,3,1
User472,1,7,3,7,4,7,3,5,10,10
User473,5,3,2,3,5,8,1,7,1,6
User474,5,6,7,1,5,1,2,2,7,1
User475,5,5,10,4,8,6,8,9,8,4
User476,6,2,10,6,10,3,3,3,8,8
User477,4,8,10,7,5,6,2,4,6,1
User478,2,1,10,6,8,1,4,4,3,10
User479,8,2,9,10,7,10,9,4,4,2
User480,7,8,6,1,4,7,2,8,9,7
User481,3,5,4,1,8,5,8,9,2,1
User482,10,2,3,10,4,2,1,8,7,6
User483,6,9,7,6,2,1,9,4,4,3
User484,4,2,1,9,8,9,7,7,3,2
User485,3,10,2,1,8,9,2,2,10,9
User486,6,3,4,3,8,4,10,7,3,9
User487,5,5,2,10,10,1,7,1,3,10
User488,10,7,10,10,10,3,5,4,7,4
User489,7,3,2,7,6,10,5,7,2,7
User490,8,1,6,4,3,1,8,6,9,10
User491,2,6,4,10,5,8,4,10,8,10
User492,10,3,4,6,3,3,1,8,5,10
User493,1,8,7,7,2,10,5,8,9,8
User494,6,6,7,7,2,3,7,6,3,5
User495,8,6,7,9,8,1,5,6,8,4
User496,10,1,4,7,1,6,9,5,7,10
User497,6,9,6,9,2,3,7,8,4,7
User498,7,3,9,3,10,3,3,3,7,6
User499,9,1,2,6,1,2,10,4,6,5
User500,9,6,9,6,5,10,3,3,9,4
User501,3,10,7,1,4,9,1,6,1,9
User502,6,6,5,7,2,3,9,8,5,9
User503,9,3,10,6,7,1,4,9,6,10
User504,5,4,5,8,5,5,10,8,1,1
User505,8,5,6,2,6,9,1,2,10,9
User506,8,8,10,3,5,10,7,9,8,6
User507,7,2,7,1,5,5,8,2,4,3
User508,4,3,7,4,8,4,9,6,10,9
User509,10,1,1,7,9,1,1,9,7,3
User510,3,1,9,1,10,3,8,2,4,8
User511,5,3,5,10,6,2,7,7,10,9
User512,8,4,2,6,10,8,10,4,9,3
User513,7,9,8,3,7,1,6,1,7,6
User514,5,8,8,2,7,10,10,3,2,6
User515,4,3,6,2,9,6,3,4,9,8
User516,4,7,5,2,1,5,5,10,1,5
User517,6,6,2,1,3,1,5,1,10,8
User518,6,7,1,6,3,6,7,6,2,9
User519,2,9,1,5,7,6,3,8,4,3
User520,10,10,10,8,5,6,5,4,5,10
User521,5,1,4,8,1,10,4,5,6,7
User522,10,2,6,1,3,1,7,7,3,9
User523,6,9,5,9,8,8,9,9,8,9
User524,7,9,1,2,10,8,6,4,2,8
User525,8,1,9,1,7,1,4,6,3,9
User526,9,6,2,4,2,3,6,2,1,1
User527,9,4,1,4,8,2,9,7,8,1
User528,2,9,1,8,10,10,5,10,9,1
User529,10,3,2,9,7,3,6,2,5,1
User530,7,6,9,5,4,6,6,5,4,8
User531,4,1,1,3,2,3,9,8,6,3
User532,10,5,7,1,7,6,9,1,3,8
User533,1,1,2,9,6,3,1,5,4,9
User534,5,5,9,8,10,2,7,9,4,6
User535,1,5,9,6,7,9,6,5,3,4
User536,3,6,5,2,8,1,1,1,5,5
User537,9,1,4,1,8,10,5,8,2,8
User538,6,2,9,4,5,3,4,2,7,9
User539,5,7,8,4,1,5,8,6,3,9
User540,7,8,5,5,4,7,8,2,4,5
User541,6,8,2,3,4,1,9,9,2,8
User542,1,4,8,6,1,4,1,3,10,2
User543,10,6,1,3,7,9,5,7,9,3
User544,2,4,9,9,9,4,2,1,6,2
User545,1,8,10,6,7,10,2,9,3,10
User546,4,2,5,10,1,8,9,1,2,7
User547,4,6,5,10,9,7,6,3,8,5
User548,2,7,5,10,10,3,5,1,5,2
User549,2,7,8,9,2,1,10,5,5,9
User550,1,5,5,1,2,9,9,10,9,1
User551,10,3,8,10,9,6,9,7,9,1
User552,7,5,8,10,7,10,2,9,10,10
User553,1,3,4,10,10,5,4,10,4,1
User554,7,8,10,7,1,6,1,4,9,10
User555,8,7,10,2,4,1,5,8,4,8
User556,4,2,5,4,2,7,6,1,6,4
User557,5,7,3,8,5,10,9,7,8,5
User558,7,6,9,1,2,4,8,6,2,8
User559,10,9,8,8,6,10,3,6,9,4
User560,1,2,8,7,3,5,10,8,8,6
User561,9,1,8,7,1,4,2,9,9,8
User562,7,3,8,8,1,5,9,7,8,9
User563,3,10,1,1,3,8,3,4,10,10
User564,8,4,3,2,8,8,9,7,10,4
User565,7,6,4,5,3,7,9,8,9,4
User566,2,8,10,3,8,5,5,3,10,3
User567,8,7,9,4,10,9,10,8,3,6
User568,4,10,4,2,2,2,5,7,3,3
User569,1,2,3,5,1,6,7,7,7,7
User570,10,1,2,3,8,8,8,5,8,10
User571,10,1,6,9,2,4,8,4,1,3
User572,4,9,5,4,8,1,6,3,1,3
User573,5,9,7,2,3,10,10,6,7,7
User574,9,1,5,4,10,1,5,3,9,3
User575,9,5,2,9,1,4,10,7,10,5
User576,10,4,3,1,6,9,6,3,1,5
User577,2,9,1,1,4,6,8,9,3,8
User578,10,4,10,5,2,8,7,6,8,4
User579,10,1,5,7,8,9,8,4,10,1
User580,9,8,8,4,10,8,10,8,9,9
User581,8,6,2,8,1,6,4,7,7,7
User582,4,5,4,5,8,1,8,8,7,2
User583,6,1,1,3,2,9,10,1,6,2
User584,6,2,5,1,4,3,3,4,3,8
User585,7,1,7,7,4,4,1,2,8,6
User586,5,2,4,5,4,7,7,7,10,4
User587,1,2,4,3,3,7,10,5,5,2
User588,1,1,6,2,1,6,10,3,1,5
User589,6,9,4,1,10,6,1,2,6,9
User590,10,8,5,4,8,6,4,3,9,6
User591,4,3,3,7,1,10,10,1,4,1
User592,7,5,3,5,8,5,5,9,10,10
User593,10,3,6,4,3,5,9,3,5,1
User594,5,2,8,6,2,8,10,6,7,10
User595,2,4,10,4,3,2,4,4,4,8
User596,1,10,4,7,10,5,1,6,9,1
User597,3,4,8,6,6,1,8,9,6,8
User598,5,1,9,1,3,6,8,4,2,7
User599,1,9,2,9,5,1,2,3,9,8
User600,7,8,3,4,4,2,6,9,2,7
User601,5,10,8,7,6,5,10,5,3,3
User602,10,3,5,2,6,1,2,8,6,2
User603,7,3,5,8,2,3,5,4,1,3
